Date,FB,AMZN,AAPL,GOOG
12/19/2012,27.41,257.99,75.19,359.69
12/20/2012,27.36,261.5,74.5329,360.8188
12/21/2012,26.26,256.92,74.19,357.457
12/24/2012,26.93,258.62,74.31,354.4
12/26/2012,26.51,248.6314,73.2856,354.08
12/27/2012,26.05,248.31,73.58,352.79
12/28/2012,25.9112,245.18,72.7985,349.65
12/31/2012,26.6197,250.87,76.0247,353.34
1/2/2013,28,257.31,78.43,361.26
1/3/2013,27.77,258.48,77.4423,361.47
1/4/2013,28.76,259.15,75.2857,368.616
1/7/2013,29.4213,268.4592,74.8,367.01
1/8/2013,29.0607,266.38,75.04,366.2834
1/9/2013,30.59,266.35,73.8714,368.69
1/10/2013,31.3,265.34,74.79,370.37
1/11/2013,31.72,267.94,74.33,369.625
1/14/2013,30.9475,272.73,71.68,361.26
1/15/2013,30.1,271.9,69.42,362.1
1/16/2013,29.85,268.93,72.3,357.24
1/17/2013,30.14,270.48,71.81,355.304
1/18/2013,29.66,272.12,71.429,351.9
1/22/2013,30.729,270.19,72.11,351.084
1/23/2013,30.82,268.11,73.429,370.38
1/24/2013,31.08,273.62,64.36,376.5381
1/25/2013,31.54,283.99,62.84,376.46
1/28/2013,32.469,276.04,64.261,374.99
1/29/2013,30.79,260.35,65.47,376.46
1/30/2013,31.24,272.764,65.26,376.54
1/31/2013,30.981,265.5,65.07,377.47
2/1/2013,29.73,265,64.8,387.4
2/4/2013,28.109,259.98,63.188,379.13
2/5/2013,28.64,266.89,65.406,382.487
2/6/2013,29.05,262.22,65.34,384.7
2/7/2013,28.65,260.23,66.89,386.588
2/8/2013,28.545,261.95,67.85,392.29
2/11/2013,28.26,257.21,68.56,390.82
2/12/2013,27.37,258.7,66.843,389.96
2/13/2013,27.9075,269.47,66.72,391.04
2/14/2013,28.5,269.24,66.6557,393.52
2/15/2013,28.32,265.09,65.74,396.05
2/19/2013,28.93,269.75,65.71,403.02
2/20/2013,28.462,266.41,64.12,395.834
2/21/2013,27.283,265.94,63.72,397.37
2/22/2013,27.13,265.42,64.4,399.46
2/25/2013,27.27,259.87,63.26,394.99
2/26/2013,27.39,259.36,64.14,394.6699
2/27/2013,26.87,263.25,63.51,399.49
2/28/2013,27.25,264.27,63.06,400.2
3/1/2013,27.78,265.74,61.4957,402.69
3/4/2013,27.72,273.11,60.0071,410.341
3/5/2013,27.52,275.59,61.592,418.8827
3/6/2013,27.4525,273.79,60.809,415.274
3/7/2013,28.578,273.88,61.512,415.882
3/8/2013,27.96,274.19,61.67,415.3442
3/11/2013,28.14,271.24,62.5529,416.99
3/12/2013,27.83,274.13,61.2,413.39
3/13/2013,27.08,275.1,61.19,412.24
3/14/2013,27.04,265.74,61.79,410.36
3/15/2013,26.645,261.82,63.38,406.744
3/18/2013,26.49,257.89,65.1,403.49
3/19/2013,26.55,256.41,64.93,405.25
3/20/2013,25.86,257.278,64.58,406.947
3/21/2013,25.74,253.39,64.68,405.2244
3/22/2013,25.73,257.75,65.99,404.75
3/25/2013,25.131,256.02,66.23,404.42
3/26/2013,25.205,260.31,65.8766,405.8038
3/27/2013,26.09,265.3,64.5829,400.93
3/28/2013,25.58,266.49,63.237,396.697
4/1/2013,25.53,261.61,61.273,400.19
4/2/2013,25.42,263.322,61.399,406.11
4/3/2013,26.25,259.03,61.71,402.698
4/4/2013,27.0725,259.08,61.1,397.14
4/5/2013,27.39,255.48,60.46,391.13
4/8/2013,26.849,258.95,60.89,387.04
4/9/2013,26.59,261.14,61,388.44
4/10/2013,27.57,264.77,62.24,394.69
4/11/2013,28.0175,269.85,62.05,394.8
4/12/2013,27.4,272.87,61.4,394.63
4/15/2013,26.52,267.72,59.98,390.57
4/16/2013,26.92,272.34,60.89,396.29
4/17/2013,26.625,267.4,57.54,390.889
4/18/2013,25.69,259.42,56.007,382.574
4/19/2013,25.73,260.32,55.79,399.54
4/22/2013,25.97,263.55,56.953,399.657
4/23/2013,25.98,268.9,58.019,403.55
4/24/2013,26.11,268.78,57.923,406.32
4/25/2013,26.14,274.7,58.34,404.15
4/26/2013,26.85,254.81,59.601,400.31
4/29/2013,26.98,249.74,61.446,409.12
4/30/2013,27.769,253.81,63.25,411.87
5/1/2013,27.43,248.23,62.76,409.8
5/2/2013,28.97,252.55,63.65,414.39
5/3/2013,28.311,258.05,64.28,422.44
5/6/2013,27.57,255.72,65.82,430.34
5/7/2013,26.889,257.73,65.523,428.1864
5/8/2013,27.12,258.68,66.26,436.38
5/9/2013,27.04,260.16,65.25,435.3
5/10/2013,26.68,263.63,64.71,439.67
5/13/2013,26.82,264.51,64.96,438.3262
5/14/2013,27.07,268.33,63.41,443.11
5/15/2013,26.6,266.56,61.26,457.4871
5/16/2013,26.13,264.12,62.083,451.4831
5/17/2013,26.25,269.9,61.89,454.135
5/20/2013,25.759,267.63,63.28,453.81
5/21/2013,25.66,268.86,62.81,453.03
5/22/2013,25.159,262.96,63.0506,444.27
5/23/2013,25.06,261.8,63.16,440.95
5/24/2013,24.3125,261.74,63.59,436.22
5/28/2013,24.1,267.29,63.063,440.19
5/29/2013,23.32,265.53,63.56,433.72
5/30/2013,24.55,266.83,64.51,434.94
5/31/2013,24.348,269.2,64.248,435.173
6/3/2013,23.848,266.88,64.39,433.3812
6/4/2013,23.52,265.7,64.19,429.12
6/5/2013,22.899,267.17,63.59,429.42
6/6/2013,22.97,267.83,62.64,431.89
6/7/2013,23.291,276.87,63.116,439.43
6/10/2013,24.33,281.07,62.699,444.6649
6/11/2013,24.03,274.78,62.5143,439.47
6/12/2013,23.77,271.67,61.74,435.55
6/13/2013,23.73,275.79,62.281,438.06
6/14/2013,23.63,273.99,61.44,437.08
6/17/2013,24.022,278.06,61.7143,442.68
6/18/2013,24.21,281.76,61.68,449.86
6/19/2013,24.309,278.16,60.43,449.89
6/20/2013,23.9,273.44,59.548,441.93
6/21/2013,24.53,273.36,59.0714,440.02
6/24/2013,23.935,270.61,57.51,434.46
6/25/2013,24.25,272.088,57.52,432.67
6/26/2013,24.16,277.57,56.87,436.3882
6/27/2013,24.66,277.55,56.25,438.1
6/28/2013,24.88,277.69,56.65,439.745
7/1/2013,24.81,282.1,58.46,443.5
7/2/2013,24.41,283.73,59.78,440.71
7/3/2013,24.52,284.03,60.11,442.77
7/5/2013,24.37,285.88,59.63,446.3
7/8/2013,24.71,290.59,59.29,452.092
7/9/2013,25.48,291.53,60.34,452.17
7/10/2013,25.8,292.33,60.1,452.542
7/11/2013,25.81,299.66,61.0411,459.66
7/12/2013,25.91,307.55,60.93,461.04
7/15/2013,26.28,306.57,61.06,461.88
7/16/2013,26.32,306.87,61.456,459.344
7/17/2013,26.65,308.69,61.47,458.82
7/18/2013,26.18,304.11,61.68,454.88
7/19/2013,25.881,305.23,60.71,447.851
7/22/2013,26.045,303.48,60.901,454.89
7/23/2013,26.13,301.06,59.86,451.45
7/24/2013,26.51,298.94,62.93,451
7/25/2013,34.359,303.4,62.64,443.41
7/26/2013,34.01,312.01,63,442.23
7/29/2013,35.43,306.1,63.97,440.69
7/30/2013,37.627,302.41,64.76,445.01
7/31/2013,36.8,301.22,64.6471,443.431
8/1/2013,37.489,305.57,65.2394,451.66
8/2/2013,38.05,304.21,66.08,452.83
8/5/2013,39.189,300.99,67.06,452.048
8/6/2013,38.55,300.75,66.46,447.837
8/7/2013,38.87,296.91,66.43,444.88
8/8/2013,38.54,295.74,65.859,445.884
8/9/2013,38.5,297.26,64.92,444.76
8/12/2013,38.22,296.69,66.77,442.31
8/13/2013,37.019,293.97,69.94,440.18
8/14/2013,36.65,291.34,71.21,434.47
8/15/2013,36.56,286.47,71.13,429.4
