Date,AAPL,GOOG
4/5/2013,60.46,391.13
4/8/2013,60.89,387.04
4/9/2013,61,388.44
4/10/2013,62.24,394.69
4/11/2013,62.05,394.8
4/12/2013,61.4,394.63
4/15/2013,59.98,390.57
4/16/2013,60.89,396.29
4/17/2013,57.54,390.889
4/18/2013,56.007,382.574
4/19/2013,55.79,399.54
4/22/2013,56.953,399.657
4/23/2013,58.019,403.55
4/24/2013,57.923,406.32
4/25/2013,58.34,404.15
4/26/2013,59.601,400.31
4/29/2013,61.446,409.12
4/30/2013,63.25,411.87
5/1/2013,62.76,409.8
5/2/2013,63.65,414.39
5/3/2013,64.28,422.44
5/6/2013,65.82,430.34
5/7/2013,65.523,428.1864
5/8/2013,66.26,436.38
5/9/2013,65.25,435.3
5/10/2013,64.71,439.67
5/13/2013,64.96,438.3262
5/14/2013,63.41,443.11
5/15/2013,61.26,457.4871
5/16/2013,62.083,451.4831
5/17/2013,61.89,454.135
5/20/2013,63.28,453.81
5/21/2013,62.81,453.03
5/22/2013,63.0506,444.27
5/23/2013,63.16,440.95
5/24/2013,63.59,436.22
5/28/2013,63.063,440.19
5/29/2013,63.56,433.72
5/30/2013,64.51,434.94
5/31/2013,64.248,435.173
6/3/2013,64.39,433.3812
6/4/2013,64.19,429.12
6/5/2013,63.59,429.42
6/6/2013,62.64,431.89
6/7/2013,63.116,439.43
6/10/2013,62.699,444.6649
6/11/2013,62.5143,439.47
6/12/2013,61.74,435.55
6/13/2013,62.281,438.06
6/14/2013,61.44,437.08
6/17/2013,61.7143,442.68
6/18/2013,61.68,449.86
6/19/2013,60.43,449.89
6/20/2013,59.548,441.93
6/21/2013,59.0714,440.02
6/24/2013,57.51,434.46
6/25/2013,57.52,432.67
6/26/2013,56.87,436.3882
6/27/2013,56.25,438.1
6/28/2013,56.65,439.745
7/1/2013,58.46,443.5
7/2/2013,59.78,440.71
7/3/2013,60.11,442.77
7/5/2013,59.63,446.3
7/8/2013,59.29,452.092
7/9/2013,60.34,452.17
7/10/2013,60.1,452.542
7/11/2013,61.0411,459.66
7/12/2013,60.93,461.04
7/15/2013,61.06,461.88
7/16/2013,61.456,459.344
7/17/2013,61.47,458.82
7/18/2013,61.68,454.88
7/19/2013,60.71,447.851
7/22/2013,60.901,454.89
7/23/2013,59.86,451.45
7/24/2013,62.93,451
7/25/2013,62.64,443.41
7/26/2013,63,442.23
7/29/2013,63.97,440.69
7/30/2013,64.76,445.01
7/31/2013,64.6471,443.431
8/1/2013,65.2394,451.66
8/2/2013,66.08,452.83
8/5/2013,67.06,452.048
8/6/2013,66.46,447.837
8/7/2013,66.43,444.88
8/8/2013,65.859,445.884
8/9/2013,64.92,444.76
8/12/2013,66.77,442.31
8/13/2013,69.94,440.18
8/14/2013,71.21,434.47
8/15/2013,71.13,429.4
8/16/2013,71.76,428.026
8/19/2013,72.53,432.39
8/20/2013,71.58,432.28
8/21/2013,71.77,434.23
8/22/2013,71.85,436.42
8/23/2013,71.57,434.67
8/26/2013,71.85,432.76
8/27/2013,69.8,424.65
8/28/2013,70.128,423.85
8/29/2013,70.24,427.29
8/30/2013,69.602,423.03
9/3/2013,69.8,429.76
9/4/2013,71.242,435.381
9/5/2013,70.75,439.34
9/6/2013,71.17,439.35
9/9/2013,72.31,443.583
9/10/2013,70.66,443.8907
9/11/2013,66.8157,447.65
9/12/2013,67.53,446.085
9/13/2013,66.4143,444.089
9/16/2013,64.3029,443.44
9/17/2013,65.05,442.612
9/18/2013,66.38,451.2083
9/19/2013,67.47,448.75
9/20/2013,66.77,451.1
9/23/2013,70.09,442.81
9/24/2013,69.87,442.98
